ground truth	prediction
964.0000000000001	1183.3424
2599.125	2697.5964
6518.142857	6136.7188
8716.176468235293	9207.075
6864.75	7087.0513
0.0	57.22784
4942.714286	4527.5054
7753.5714290000005	7643.287
8038.250000000001	8052.6235
9311.142857	9616.836
0.0	68.52736
0.0	46.697323
0.0	51.465767
919.4285714	1108.9972
0.0	46.989918
0.0	41.210842
5844.142857	6629.198
0.0	44.056435
0.0	53.589237
0.0	48.08158
6488.875	6296.49
0.0	42.919632
5976.375	6247.728
9873.428571	9606.104
347.25	132.21373
0.0	58.52374
4275.875	4350.7007
8170.124999999999	7978.642
5884.428571	6307.7754
11312.71429	10944.047
5926.571429	6155.792
0.0	48.25505
0.0	56.595818
8066.875	7775.42
0.0	46.52555
1178.285714	1339.8915
4187.125	4791.9175
0.0	45.79307
1725.0	1649.2942
0.0	66.133446
8970.2142855	9099.722
0.0	62.419598
4510.285714	4877.131
5266.714286	5981.313
842.0	1171.8467
0.0	64.93493
1319.857143	1295.4448
0.0	54.971638
7931.499999999999	7109.8506
265.875	103.28841
10067.28571	10668.171
0.0	55.09374
5994.625	6284.803
10367.5	10788.781
0.0	29.910671
